Creep strength Temp ©;Creep strength Stress (Mpa);Creep strength 1 Time for 1% creep (hours);Creep strength 1 Rupture life (hours);Creep strength 1 Elongation / rupture strain (%);LMP;Normalized Composition;DeltaH_mix;1-mr
982;276.0;;51.6;;27.24937538;Al0.12653B0.00022C0.00245Cr0.07925Hf0.00049Mo0.01534Ni0.72155Re0.00632Ta0.01627Ti0.01845W0.01281Y0.00033;0.083687;0.00266999999999995
1093;124.2;;52.0;;29.66406057;Al0.11054B0.00083C0.00497Co0.10122Cr0.10325Hf0.00668Ni0.60864Ti0.02492W0.03894;0.036993;0.00580000000000003
1148;90.0;;52.2;;30.86080978;Al0.13111B0.00273C0.00020Co0.07503Cr0.07938Hf0.00050Mo0.00922Ni0.65076Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.032943;0.00292999999999999
1093;138.0;;52.4;;29.66860654;Al0.12588B0.00022C0.00246Co0.07518Cr0.09089Hf0.00050Ni0.64459Re0.01903Ta0.01632Ti0.01851W0.00643;-0.042713;0.00268000000000002
982;276.0;;53.5;;27.269084;Al0.14137B0.00022C0.00244Co0.07468Cr0.09029Hf0.00049Mo0.00917Ni0.64284Re0.00945Ta0.01946W0.00958;0.16952;0.00266
1148;90.0;;53.5;;30.87599072;Al0.13110B0.00273C0.00020Co0.05002Cr0.07937Hf0.00050Mo0.00922Ni0.67580Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.03884;0.00292999999999999
871;552.0;;53.8;;24.86001492;Al0.13111B0.00273C0.00020Co0.07503Cr0.07938Hf0.00050Mo0.00922Ni0.65076Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.032943;0.00292999999999999
871;379.5;;54.1;;24.86277767;Al0.09213B0.00042C0.00246Co0.07432Cr0.10927Hf0.00063Mo0.00925Ni0.63480Ta0.01537Ti0.04204W0.01932;-0.20251;0.00287999999999999
871;552.0;;54.2;;24.86369518;Al0.12588B0.00022C0.00246Co0.07518Cr0.09089Hf0.00050Ni0.64459Re0.01903Ta0.01632Ti0.01851W0.00643;-0.042713;0.00268000000000002
1093;138.0;;55.2;;29.69948878;Al0.12649B0.00021C0.00241Co0.07362Cr0.08900Hf0.00049Mo0.02200Ni0.64205Re0.00963Ta0.01598Ti0.01813;-0.031092;0.00261999999999996
982;276.0;;55.3;;27.28712004;Al0.15822B0.00021C0.00237Cr0.07663Hf0.00048Mo0.00890Ni0.72525Re0.00917Ta0.00629W0.01239Y0.00010;0.26645;0.00258000000000003
982;276.0;;55.5;;27.28908769;Al0.14330B0.00275C0.00020Co0.07570Cr0.05720Hf0.00167Mo0.00310Ni0.65772Re0.00958Ta0.02630Ti0.01243W0.00971Y0.00033;-0.10394;0.00295000000000001
1148;90.0;;55.5;;30.89864033;Al0.14330B0.00275C0.00020Co0.07570Cr0.05720Hf0.00167Mo0.00310Ni0.65772Re0.00958Ta0.02630Ti0.01243W0.00971Y0.00033;-0.10394;0.00295000000000001
871;552.0;;55.6;;24.87636556;Al0.14137B0.00022C0.00244Co0.07468Cr0.09029Hf0.00049Mo0.00917Ni0.64284Re0.00945Ta0.01946W0.00958;0.16952;0.00266
871;552.0;;56.3;;24.8825816;Al0.12649B0.00021C0.00241Co0.07362Cr0.08900Hf0.00049Mo0.02200Ni0.64205Re0.00963Ta0.01598Ti0.01813;-0.031092;0.00261999999999996
982;276.0;;56.3;;27.29688804;Al0.12649B0.00021C0.00241Co0.07362Cr0.08900Hf0.00049Mo0.02200Ni0.64205Re0.00963Ta0.01598Ti0.01813;-0.031092;0.00261999999999996
1093;138.0;;57.4;;29.72267365;Al0.12438B0.00021C0.00241Co0.07364Cr0.08903Hf0.00049Mo0.01809Ni0.60134Re0.01398Ta0.01599Ti0.06044;-0.34177;0.00261999999999996
871;552.0;;57.9;;24.89650428;Al0.13112B0.00273C0.00020Co0.10006Cr0.07938Hf0.00050Mo0.00922Ni0.62571Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.025072;0.00292999999999999
982;276.0;;58.5;;27.31778061;Al0.12781B0.00022C0.00248Co0.10089Cr0.08005Hf0.00050Mo0.00930Ni0.61776Re0.00319Ta0.01643Ti0.01863W0.02264Y0.00010;0.038254;0.00270000000000004
871;552.0;;59.8;;24.91254615;Al0.12782B0.00022C0.00248Co0.10090Cr0.08005Hf0.00050Mo0.00930Ni0.61782Re0.00958Ta0.01643Ti0.01863W0.01617Y0.00010;0.0041343;0.00270000000000004
982;276.0;;60.1;;27.33248746;Al0.13097B0.00022C0.00245Co0.07495Cr0.09062Hf0.00049Mo0.00921Ni0.64016Re0.00949Ta0.01953Ti0.01230W0.00961;0.014595;0.00266999999999995
871;552.0;;62.2;;24.9320962;Al0.14047B0.00022C0.00247Co0.07537Cr0.09112Hf0.00050Ni0.64471Re0.01908Ta0.01964W0.00644;0.16056;0.00268999999999997
982;276.0;;63.1;;27.35903685;Al0.12666B0.00022C0.00247Co0.07564Cr0.09144Hf0.00050Ni0.63927Re0.00958Ta0.01642Ti0.01862W0.01907Y0.00010;-0.00035521;0.00268999999999997
982;276.0;;63.7;;27.36419499;Al0.13112B0.00273C0.00020Co0.10006Cr0.07938Hf0.00050Mo0.00922Ni0.62571Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.025072;0.00292999999999999
871;552.0;;64.2;;24.94782007;Al0.13802B0.00278C0.00020Co0.07644Cr0.06931Hf0.00050Mo0.00939Ni0.65543Re0.00968Ta0.02158W0.01634Y0.00034;0.11969;0.00297999999999998
982;276.0;;64.7;;27.37268487;Al0.14047B0.00022C0.00247Co0.07537Cr0.09112Hf0.00050Ni0.64471Re0.01908Ta0.01964W0.00644;0.16056;0.00268999999999997
