Element;Score;Mean;Std;Median;Prop_Positive;Delta;General Mean;Relative Delta;Relative std
Pd;Bulk Modulus (GPa);165.85692;34.95999;162.70692;0.5382;6.6170654;159.2398546;0.041554078384595565;0.21954296609863896
Pt;Bulk Modulus (GPa);182.37042;34.63064;179.35886;0.7325;23.13057;159.23985;0.14525616546360726;0.2174747087490977
Re;Bulk Modulus (GPa);211.41713;30.224977;211.26712;0.9569;52.177277;159.23985299999998;0.3276646895673786;0.1898078680090216
Rh;Bulk Modulus (GPa);185.68402;31.581003;182.21483;0.7916;26.444168;159.239852;0.16606501241912733;0.19832348877088882
Ru;Bulk Modulus (GPa);193.57448;31.422705;192.65543;0.8659;34.334625;159.23985499999998;0.21561577659060294;0.19732939972847882
Sb;Bulk Modulus (GPa);138.15497;33.75529;136.06941;0.2649;-21.084885;159.23985499999998;-0.1324095968311451;0.2119776484348093
Sc;Bulk Modulus (GPa);131.83875;32.163948;129.18405;0.1932;-27.401108;159.239858;-0.17207443126456443;0.20198427958909634
Si;Bulk Modulus (GPa);155.45633;36.28773;153.77803;0.4388;-3.7835236;159.2398536;-0.023759903783282552;0.22788095554993654
Sn;Bulk Modulus (GPa);130.53665;33.332973;127.548996;0.2024;-28.703201;159.23985100000002;-0.18025136810759762;0.20932557265454863
Ta;Bulk Modulus (GPa);182.69873;30.336973;180.97668;0.7614;23.458878;159.239852;0.1473178837166967;0.1905111856044679
Te;Bulk Modulus (GPa);130.0037;32.646923;126.00706;0.1836;-29.23616;159.23986000000002;-0.1835982523471196;0.20501728022117074
Ti;Bulk Modulus (GPa);153.25493;32.246597;151.08878;0.4119;-5.9849243;159.2398543;-0.03758433669955952;0.20250330635978234
V;Bulk Modulus (GPa);170.82072;31.96029;168.99234;0.6214;11.580872;159.239848;0.07272596743498524;0.20070535359968444
W;Bulk Modulus (GPa);212.05995;26.907984;210.91412;0.9846;52.8201;159.23985;0.3317015181815356;0.16897770250348768
Y;Bulk Modulus (GPa);159.24744;36.260155;157.71127;0.4843;0.007583618;159.239856382;4.7623868623742556e-05;0.22770778512268702
Zn;Bulk Modulus (GPa);144.09825;34.209988;141.48744;0.3121;-15.141602;159.239852;-0.0950867625774985;0.2148330808546594
Zr;Bulk Modulus (GPa);143.48442;31.36833;141.64969;0.2974;-15.755432;159.239852;-0.09894151371102756;0.1969879374165708
Ag;Melting_Temperature;1461.5714;261.3778;1427.5812;0.232;-179.62512;1641.19652;-0.10944766078348742;0.15926051317730067
Al;Melting_Temperature;1622.1309;235.58543;1624.0984;0.4727;-19.065674;1641.196574;-0.01161693504729434;0.14354491943997927
As;Melting_Temperature;1444.2338;268.77835;1411.831;0.235;-196.96277;1641.19657;-0.12001168757012452;0.16376974879980402
Au;Melting_Temperature;1526.1375;285.64963;1514.2244;0.3395;-115.05908;1641.19658;-0.07010682413193914;0.17404961324011534
Bi;Melting_Temperature;1421.029;304.2126;1397.9851;0.2425;-220.16748;1641.19648;-0.13415059237758054;0.18536025619552876
Cd;Melting_Temperature;1452.62;262.24008;1422.8358;0.224;-188.57654;1641.19654;-0.11490186300295271;0.15978590839583418
Co;Melting_Temperature;1597.8604;238.80406;1591.4146;0.4234;-43.33618;1641.19658;-0.026405234161528655;0.14550606728658916
Cr;Melting_Temperature;1670.1882;250.694;1657.218;0.5249;28.9917;1641.1965;0.01766497795967759;0.15275075227128498
Cu;Melting_Temperature;1520.992;224.36197;1516.7686;0.2841;-120.20459;1641.19659;-0.07324204225893499;0.1367063344922012
Fe;Melting_Temperature;1598.241;232.93008;1593.8923;0.4176;-42.955566;1641.196566;-0.026173321885929413;0.1419269847533912
Ga;Melting_Temperature;1470.7284;225.98953;1465.1348;0.2204;-170.46814;1641.19654;-0.10386820581525234;0.13769802975577808
Ge;Melting_Temperature;1544.7146;266.66037;1520.4607;0.3432;-96.48193;1641.19653;-0.0587875542242342;0.16247924311660591
Hf;Melting_Temperature;1829.0206;266.67847;1801.9478;0.7378;187.8241;1641.1965;0.11444339541304163;0.16249027462585985
Hg;Melting_Temperature;1493.2328;263.66797;1475.1697;0.2735;-147.96375;1641.1965500000001;-0.0901560206180058;0.1606559372794197
In;Melting_Temperature;1528.625;264.80627;1513.3164;0.318;-112.57153;1641.19653;-0.06859113332392922;0.16134951857350074
Ir;Melting_Temperature;1872.1616;255.63629;1858.3843;0.8028;230.96509;1641.19651;0.14072969848077485;0.15576214575303965
Mg;Melting_Temperature;1553.8721;261.552;1534.3318;0.3496;-87.32446;1641.19656;-0.05320780102049446;0.15936665136563533
Mn;Melting_Temperature;1590.2961;229.68057;1583.9321;0.4075;-50.90039;1641.19649;-0.031014196234358263;0.13994702730567013
Mo;Melting_Temperature;1823.4072;222.41919;1806.9458;0.7828;182.2107;1641.1965;0.11102308590104841;0.1355225836759949
Nb;Melting_Temperature;1822.2838;225.79393;1795.5134;0.7752;181.08728;1641.19652;0.11033857176348387;0.13757885009407647
Ni;Melting_Temperature;1586.5887;228.06734;1580.5039;0.4005;-54.607788;1641.196488;-0.03327315674831008;0.13896406778077386
Pb;Melting_Temperature;1621.8054;268.967;1606.1633;0.4525;-19.391113;1641.1965129999999;-0.011815229222339935;0.16388470111257178
Pd;Melting_Temperature;1625.2551;237.81651;1620.4034;0.4672;-15.941406;1641.196506;-0.00971328292603616;0.14490434821825046
Pt;Melting_Temperature;1730.2964;266.75922;1714.0255;0.6065;89.09985;1641.19655;0.054289566962592024;0.1625394715824866
Re;Melting_Temperature;1998.2212;203.96169;1972.0006;0.9884;357.02466;1641.19654;0.21753924731038002;0.12427621252479609
Rh;Melting_Temperature;1739.0966;239.08904;1719.7152;0.6286;97.900024;1641.196576;0.05965161360414634;0.14567970924160642
Ru;Melting_Temperature;1809.8628;234.48885;1797.1053;0.7507;168.66626;1641.1965400000001;0.10277029952792856;0.14287676355934797
Sb;Melting_Temperature;1497.8077;279.12677;1469.8076;0.2877;-143.3888;1641.1965;-0.08736845344235136;0.17007516772062334
Sc;Melting_Temperature;1650.2546;261.5576;1633.5145;0.4866;9.058105;1641.196495;0.005519208106766034;0.1593700698221391
Si;Melting_Temperature;1601.532;267.48123;1586.5538;0.421;-39.66455;1641.19655;-0.0241680681086004;0.1629794006086596
Sn;Melting_Temperature;1454.6335;281.81506;1429.6782;0.2509;-186.56299;1641.1964899999998;-0.1136749872040002;0.17171317494104563
Ta;Melting_Temperature;2016.8462;192.93823;1995.0043;0.9939;375.64966;1641.19654;0.2288876748424049;0.11755949107716253
Te;Melting_Temperature;1447.016;265.92947;1414.0762;0.2278;-194.18054;1641.1965400000001;-0.11831644490305834;0.16203389631810944
Ti;Melting_Temperature;1722.2098;226.75934;1696.5491;0.5979;81.013306;1641.196494;0.049362344055799576;0.13816708774909192
V;Melting_Temperature;1760.6906;229.63342;1734.8025;0.6603;119.49402;1641.1965799999998;0.07280908421098466;0.13991829059258704
W;Melting_Temperature;2013.316;193.61925;1992.7877;0.9931;372.1195;1641.1965;0.2267367131236266;0.11797444730110014
Y;Melting_Temperature;1647.7772;267.05417;1632.8625;0.4875;6.5806885;1641.1965115;0.0040096895489897585;0.16271919183883787
Zn;Melting_Temperature;1497.878;221.72089;1495.3007;0.2499;-143.31848;1641.1964799999998;-0.08732560771760857;0.13509710305983597
Zr;Melting_Temperature;1704.0435;259.09064;1685.1039;0.5634;62.846924;1641.196576;0.03829335554255994;0.15786691477962236
